1 5 1  3.7475 4.48777459638453E-09
2 9 2  0.0981 7.42341689859039E-05
3 13 3  0.0999 1.15793359831549E-06
4 13 3  0.0992 3.33730076702625E-05
5 17 4  0.1083 1.01714130559021E-07
6 17 4  0.1039 2.28218052305111E-06
7 17 4  0.1041 2.21187816048642E-05
8 21 5  0.1088 4.34262482614811E-08
9 21 5  0.1091 7.22480565739526E-07
10 21 5  0.1056 6.64937164682386E-06
11 25 6  0.1124 6.59695611261641E-09
12 25 6  0.1113 1.26645243544457E-07
13 25 6  0.11 1.39360724913482E-06
14 25 6  0.1341 9.83704223525948E-06
15 29 7  0.1171 1.48361076659648E-08
16 29 7  0.1177 2.18607904653789E-07
17 29 7  0.1192 1.9999086340055E-06
18 33 8  0.1209 1.18872119962279E-09
19 33 8  0.1219 2.55954568738994E-08
20 33 8  0.1206 3.23017420807624E-07
21 33 8  0.123 2.63018938386059E-06
22 37 9  0.1228 2.16494810434211E-09
23 37 9  0.1245 4.01757777960915E-08
24 37 9  0.1234 4.51791462267285E-07
25 37 9  0.1241 3.35975878563446E-06
26 41 10  0.1295 3.687607388352E-09
27 41 10  0.1438 6.05350624537526E-08
28 41 10  0.1303 6.17293612628257E-07
29 41 10  0.1315 4.24268361735881E-06
30 45 11  0.1353 6.05978098426672E-09
31 45 11  0.1418 8.91921484006262E-08
32 45 11  0.1326 8.32603926627961E-07
33 45 11  0.1353 5.32472824432626E-06
34 49 12  0.134 9.72135805532484E-09
35 49 12  0.1365 1.29392183374918E-07
36 49 12  0.1398 1.11257749419504E-06
37 53 13  0.139 7.54917056636612E-10
38 53 13  0.1403 1.53027602567805E-08
39 53 13  0.1415 1.85332596387156E-07
40 53 13  0.1377 1.47468208483957E-06
41 57 14  0.1603 1.30729874983461E-09
42 57 14  0.147 2.36947328146741E-08
43 57 14  0.1432 2.62421191925582E-07
44 57 14  0.1447 1.93964465593707E-06
45 61 15  0.1499 2.2159062484763E-09
46 61 15  0.1552 3.61389741726057E-08
47 61 15  0.1475 3.67560197231428E-07
48 61 15  0.1484 2.53198657400275E-06
49 65 16  0.1506 3.68296089319599E-09
50 65 16  0.151 5.43416398483451E-08
51 65 16  0.1513 5.09465981285557E-07
52 65 16  0.1499 3.28050727584648E-06
53 69 17  0.1562 6.01018655734674E-09
54 69 17  0.1708 8.06135606682185E-08
55 69 17  0.1574 6.99015801172326E-07
56 73 18  0.1586 4.6650259429074E-10
57 73 18  0.1608 9.63976524248946E-09
58 73 18  0.1613 1.18040514438654E-07
59 73 18  0.1588 9.49627935776503E-07
60 77 19  0.1675 8.22947849214175E-10
61 77 19  0.1625 1.52094421014293E-08
62 77 19  0.1654 1.70685752766265E-07
63 77 19  0.1621 1.27765898032608E-06
64 81 20  0.1672 1.42052193072837E-09
65 81 20  0.1639 2.36238191573641E-08
66 81 20  0.1689 2.43827839793821E-07
67 81 20  0.1652 1.70282575480416E-06
68 85 21  0.1745 2.40244256000245E-09
69 85 21  0.1714 3.6145838778857E-08
70 85 21  0.1716 3.44231993562677E-07
71 85 21  0.1691 2.24861307427454E-06
72 89 22  0.1766 3.98561066327845E-09
73 89 22  0.25 5.45115363265125E-08
74 89 22  0.2309 4.80457532438474E-07
75 93 23  0.1828 3.04040728297756E-10
76 93 23  0.1801 6.49277943252175E-09
77 93 23  0.1803 8.10715750474248E-08
78 93 23  0.176 6.63196070781304E-07
79 97 24  0.1826 5.46043302480033E-10
80 97 24  0.1814 1.03957720732674E-08
81 97 24  0.2056 1.18961717279247E-07
82 97 24  0.188 9.05637401296625E-07
83 101 25  0.1859 9.58112981733437E-10
84 101 25  0.1877 1.63729708696549E-08
85 101 25  0.185 1.72306340184011E-07
86 101 25  0.1986 1.22385732334506E-06
87 105 26  0.1923 1.64489413814379E-09
88 105 26  0.19 2.53833739122763E-08
89 105 26  0.1911 2.46454360838834E-07
90 105 26  0.5427 1.63721586736282E-06
91 109 27  0.1656 2.76684029478382E-09
92 109 27  0.1642 3.8761317475039E-08
93 109 27  0.1644 3.48247772575648E-07
94 113 28  0.1675 2.05466338825574E-10
95 113 28  0.1689 4.5656139687632E-09
96 113 28  0.1683 5.83344552410141E-08
97 113 28  0.1681 4.8632601458433E-07
98 117 29  0.1793 3.75222240386044E-10
99 117 29  0.1718 7.39861027227266E-09
100 117 29  0.1708 8.65679714387453E-08
101 117 29  0.1704 6.71454611485114E-07
102 121 30  0.1742 6.68348240386767E-10
103 121 30  0.174 1.17854122833249E-08
104 121 30  0.1734 1.26738435606441E-07
105 121 30  0.1745 9.16884096929943E-07
106 125 31  0.1778 1.16302571008893E-09
107 125 31  0.177 1.84685080100723E-08
108 125 31  0.193 1.83138138118102E-07
109 125 31  0.1774 1.23872184140238E-06
110 129 32  0.1804 1.98048628483006E-09
111 129 32  0.1879 2.84917920507286E-08
112 129 32  0.1805 2.61311611586274E-07
113 129 32  0.1801 1.65631585689836E-06
114 133 33  0.1823 3.30513851721812E-09
115 133 33  0.1829 4.32992995690701E-08
116 133 33  0.1828 3.68324119439354E-07
117 137 34  0.1858 2.63969550419205E-10
118 137 34  0.1862 5.41252207460576E-09
119 137 34  0.1844 6.48579217028814E-08
120 137 34  0.1847 5.13060074215595E-07
121 141 35  0.1881 4.76992648554254E-10
122 141 35  0.191 8.70707422548221E-09
123 141 35  0.1888 9.58057958949706E-08
124 141 35  0.1895 7.06546814940052E-07
125 145 36  0.1931 8.40769173236431E-10
126 145 36  0.1905 1.37723235272988E-08
127 145 36  0.1894 1.39630154963665E-07
128 145 36  0.189 9.62303158114264E-07
129 149 37  0.1916 1.44826569959803E-09
130 149 37  0.1921 2.14361933768281E-08
131 149 37  0.1918 2.00874517873312E-07
132 149 37  0.1926 1.29669906032407E-06
133 153 38  0.3198 2.44230681512086E-09
134 153 38  0.1958 3.2854318445964E-08
135 153 38  0.2267 2.85376649437639E-07
136 157 39  0.2006 1.88685382603483E-10
137 157 39  0.1995 4.03815943283795E-09
138 157 39  0.1986 4.9614312700098E-08
139 157 39  0.1989 4.00536506764086E-07
140 161 40  0.2008 3.45893715113593E-10
141 161 40  0.2006 6.55465038457547E-09
142 161 40  0.2019 7.3863667738891E-08
143 161 40  0.2006 5.55610800532514E-07
144 165 41  0.2057 6.17421987158831E-10
145 165 41  0.2043 1.04557133521436E-08
146 165 41  0.2133 1.08463956823871E-07
147 165 41  0.2029 7.6203220809823E-07
148 169 42  0.2072 1.07549289968828E-09
149 169 42  0.2085 1.64051714219133E-08
150 169 42  0.2073 1.57172673782962E-07
151 169 42  0.2069 1.03374521929061E-06
152 173 43  0.2097 1.83193929435638E-09
153 173 43  0.2095 2.53371701288857E-08
154 173 43  0.2098 2.24854634024586E-07
155 177 44  0.2116 1.36333792092593E-10
156 177 44  0.2124 3.05677115945434E-09
157 177 44  0.2197 3.85452986976233E-08
158 177 44  0.2127 3.17721874753129E-07
159 181 45  0.2462 2.536170729215E-10
160 181 45  0.2161 5.00375301404072E-09
161 181 45  0.2169 5.77928830144296E-08
162 181 45  0.2493 4.43600245573825E-07
163 185 46  0.2198 4.58533249879469E-10
164 185 46  0.2187 8.04517243752933E-09
165 185 46  0.2199 8.54472672811031E-08
166 185 46  0.3387 6.12222960507402E-07
167 189 47  0.2221 8.0772368837878E-10
168 189 47  0.2211 1.27178547401518E-08
169 189 47  0.2203 1.24639693887775E-07
170 189 47  0.2203 8.3554086708918E-07
171 193 48  0.2237 1.38952883473003E-09
172 193 48  0.2263 1.97830441155135E-08
173 193 48  0.2242 1.79452601998838E-07
174 193 48  0.2242 1.12804959662868E-06
175 197 49  0.2284 2.33931122188881E-09
176 197 49  0.2287 3.03027599569554E-08
177 197 49  0.2281 2.55134582708866E-07
178 201 50  0.2394 1.87368336788744E-10
179 201 50  0.2308 3.86069917012216E-09
180 201 50  0.2306 4.5735165243114E-08
181 201 50  0.2301 3.5834278589204E-07
182 205 51  0.2336 3.4328295604268E-10
183 205 51  0.2329 6.2546162421682E-09
184 205 51  0.233 6.80516790053166E-08
185 205 51  0.2326 4.97409401258079E-07
186 209 52  0.2345 6.11663138957621E-10
187 209 52  0.2351 9.9582072548855E-09
188 209 52  0.2344 9.98779338651121E-08
189 209 52  0.2533 6.82629769174294E-07
190 213 53  0.2379 1.06282147672096E-09
191 213 53  0.2376 1.55958621502668E-08
192 213 53  0.2389 1.44659891947365E-07
193 213 53  0.3524 9.26568212915873E-07
194 217 54  0.2434 1.80526942232116E-09
195 217 54  0.241 2.40447986968354E-08
196 217 54  0.2396 2.06856673119949E-07
197 221 55  0.2433 1.39110827980897E-10
198 221 55  0.2508 3.0033995290098E-09
199 221 55  0.244 3.6517892279169E-08
200 221 55  0.2424 2.9215933188395E-07
201 225 56  0.2474 2.58425862899663E-10
202 225 56  0.2463 4.90193026321996E-09
203 225 56  0.2467 5.46658276273973E-08
204 225 56  0.2467 4.07734822495817E-07
205 229 57  0.2493 4.65985419618457E-10
206 229 57  0.2498 7.85883454297977E-09
207 229 57  0.2497 8.07014638849965E-08
208 229 57  0.256 5.62491685827245E-07
209 233 58  0.2518 8.18053311717939E-10
210 233 58  0.2515 1.23889686153906E-08
211 233 58  0.252 1.1754768324844E-07
212 233 58  0.2506 7.67364444447838E-07
213 237 59  0.254 1.40208841098959E-09
214 237 59  0.2548 1.92205815602902E-08
215 237 59  0.2529 1.69009799482476E-07
216 241 60  0.2762 1.03559301455457E-10
217 241 60  0.2597 2.3515097011941E-09
218 241 60  0.4068 2.93671973997875E-08
219 241 60  0.2587 2.39974154335647E-07
220 245 61  0.2611 1.95242832651832E-10
