1 5 1  0.3387 4.48777459638453E-09
2 9 2  0.0925 7.42341689859039E-05
3 13 3  0.1189 1.15793359831549E-06
4 13 3  0.0965 3.33730076702625E-05
5 17 4  0.0983 1.01714130559021E-07
6 17 4  0.101 2.28218052305111E-06
7 17 4  0.0985 2.21187816048642E-05
8 21 5  0.1053 4.34262482614811E-08
9 21 5  0.1023 7.22480565739526E-07
10 21 5  0.1026 6.64937164682386E-06
11 25 6  0.1078 6.59695611261641E-09
12 25 6  0.1073 1.26645243544457E-07
13 25 6  0.1286 1.39360724913482E-06
14 25 6  0.1097 9.83704223525948E-06
15 29 7  0.1116 1.48361076659648E-08
16 29 7  0.1128 2.18607904653789E-07
17 29 7  0.1136 1.9999086340055E-06
18 33 8  0.1154 1.18872119962279E-09
19 33 8  0.1477 2.55954568738994E-08
20 33 8  0.1168 3.23017420807624E-07
21 33 8  0.1174 2.63018938386059E-06
22 37 9  0.1192 2.16494810434211E-09
23 37 9  0.1215 4.01757777960915E-08
24 37 9  0.1181 4.51791462267285E-07
25 37 9  0.1184 3.35975878563446E-06
26 41 10  0.1382 3.687607388352E-09
27 41 10  0.1257 6.05350624537526E-08
28 41 10  0.1239 6.17293612628257E-07
29 41 10  0.1232 4.24268361735881E-06
30 45 11  0.1309 6.05978098426672E-09
31 45 11  0.1307 8.91921484006262E-08
32 45 11  0.1265 8.32603926627961E-07
33 45 11  0.1289 5.32472824432626E-06
34 49 12  0.1335 9.72135805532484E-09
35 49 12  0.1308 1.29392183374918E-07
36 49 12  0.1325 1.11257749419504E-06
37 53 13  0.1358 7.54917056636612E-10
38 53 13  0.1399 1.53027602567805E-08
39 53 13  0.1361 1.85332596387156E-07
40 53 13  0.1528 1.47468208483957E-06
41 57 14  0.1423 1.30729874983461E-09
42 57 14  0.1377 2.36947328146741E-08
43 57 14  0.1409 2.62421191925582E-07
44 57 14  0.1407 1.93964465593707E-06
45 61 15  0.1427 2.2159062484763E-09
46 61 15  0.1443 3.61389741726057E-08
47 61 15  0.1418 3.67560197231428E-07
48 61 15  0.1416 2.53198657400275E-06
49 65 16  0.1479 3.68296089319599E-09
50 65 16  0.146 5.43416398483451E-08
51 65 16  0.1487 5.09465981285557E-07
52 65 16  0.1458 3.28050727584648E-06
53 69 17  0.1836 6.01018655734674E-09
54 69 17  0.1601 8.06135606682185E-08
55 69 17  0.1508 6.99015801172326E-07
56 73 18  0.1604 4.6650259429074E-10
57 73 18  0.1552 9.63976524248946E-09
58 73 18  0.1579 1.18040514438654E-07
59 73 18  0.1546 9.49627935776503E-07
60 77 19  0.1788 8.22947849214175E-10
61 77 19  0.1611 1.52094421014293E-08
62 77 19  0.1548 1.70685752766265E-07
63 77 19  0.1593 1.27765898032608E-06
64 81 20  0.1622 1.42052193072837E-09
65 81 20  0.1649 2.36238191573641E-08
66 81 20  0.1624 2.43827839793821E-07
67 81 20  0.1786 1.70282575480416E-06
68 85 21  0.1659 2.40244256000245E-09
69 85 21  0.1698 3.6145838778857E-08
70 85 21  0.168 3.44231993562677E-07
71 85 21  0.1672 2.24861307427454E-06
72 89 22  0.1688 3.98561066327845E-09
73 89 22  0.1714 5.45115363265125E-08
74 89 22  0.1722 4.80457532438474E-07
75 93 23  0.1744 3.04040728297756E-10
76 93 23  0.175 6.49277943252175E-09
77 93 23  0.1724 8.10715750474248E-08
78 93 23  0.1759 6.63196070781304E-07
79 97 24  0.1774 5.46043302480033E-10
80 97 24  0.1971 1.03957720732674E-08
81 97 24  0.1997 1.18961717279247E-07
82 97 24  0.1785 9.05637401296625E-07
83 101 25  0.1845 9.58112981733437E-10
84 101 25  0.1806 1.63729708696549E-08
85 101 25  0.1832 1.72306340184011E-07
86 101 25  0.1866 1.22385732334506E-06
87 105 26  0.1863 1.64489413814379E-09
88 105 26  0.1878 2.53833739122763E-08
89 105 26  0.1862 2.46454360838834E-07
90 105 26  0.5492 1.63721586736282E-06
91 109 27  0.1616 2.76684029478382E-09
92 109 27  0.1616 3.8761317475039E-08
93 109 27  0.1618 3.48247772575648E-07
94 113 28  0.1653 2.05466338825574E-10
95 113 28  0.1756 4.5656139687632E-09
96 113 28  0.1642 5.83344552410141E-08
97 113 28  0.1648 4.8632601458433E-07
98 117 29  0.1674 3.75222240386044E-10
99 117 29  0.1666 7.39861027227266E-09
100 117 29  0.1676 8.65679714387453E-08
101 117 29  0.1671 6.71454611485114E-07
102 121 30  0.1707 6.68348240386767E-10
103 121 30  0.17 1.17854122833249E-08
104 121 30  0.1795 1.26738435606441E-07
105 121 30  0.1694 9.16884096929943E-07
